CHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
55001;Head of State;Hongxian Ming;1927;1964;1964;PA;Ruthless Powermonger;High;2341;X
55002;Head of Government;Jiang Jieshi;1927;1964;1964;PA;Old General;High;2342;X
55003;Foreign Minister;Zhang Zun;1933;1964;1964;PA;Great Compromiser;Very High;M52003;X
55004;Minister of Armament;Yan Xishan;1927;1964;1964;PA;Keynesian economy;Low;M52004;X
55005;Minister of Security;Chen Guofu;1914;1964;1964;SC;Crooked Kleptocrat;Very High;M52005;X
55006;Head of Military Intelligence;Chen Lifu;1929;1964;1964;PA;Political Specialist;Very High;M52006;X
55007;Chief of Staff;Jiang Jieshi;1927;1964;1964;PA;School of Manoeuvre;Undying;2342;X
55008;Chief of Army;Zhang Xueliang;1929;1964;1964;PA;Guns and Butter Doctrine;Low;M52008;X
55009;Chief of Navy;Chen Shaokuan;1929;1964;1964;PA;Indirect Approach Doctrine;Medium;M52009;X
55010;Chief of Air Force;Zhou Zhirou;1922;1964;1964;PA;Army Aviation Doctrine;Very High;M52010;X
55011;Head of State;Jiang Jieshi;1943;1964;1964;PA;Resigned Generalissimo;High;2342;X
55013;Head of State;T. V. Soong;1943;1964;1964;SC;Autocratic Charmer;High;M52024;X
55014;Head of State;Wang Jingwei;1939;1964;1964;FA;Local tyrant2;High;M52011;X
55015;Head of Government;Wang Chonghui;1937;1964;1964;PA;Flamboyant Tough Guy;High;M52026;X
55016;Head of Government;Zhang Zun;1939;1964;1964;PA;Happy Amateur;High;M52003;X
55017;Head of Government;T. V. Soong;1945;1964;1964;PA;Political Protege;High;M52024;X
55018;Head of Government;Kong Xiangxi;1938;1964;1964;PA;Silent Workhorse;High;M52030;X
55019;Head of Government;Li Zongren;1933;1964;1964;SC;Corporate Suit;High;M52031;X
55020;Head of Government;Wang Kemin;1939;1964;1964;FA;Backroom Backstabber;High;M52012;X
55021;Foreign Minister;Wang Chonghui;1937;1964;1964;PA;Ideological Crusader;Medium;M52026;X
55022;Foreign Minister;Lin Wei;1939;1964;1964;PA;General Staffer;High;M52035;X
55023;Foreign Minister;Shen Zui;1940;1964;1964;PA;Apologetic Clerk;Very High;M52036;X
55024;Foreign Minister;Chen Guofu;1914;1964;1964;SC;Great Compromiser;Low;M52005;X
55025;Foreign Minister;Wang Shijie;1945;1964;1964;PA;Iron Fisted Brute;Medium;M52038;X
55026;Foreign Minister;Hongxian Ming;1939;1964;1964;SC;Ideological Crusader;Medium;2341;X
55027;Foreign Minister;T. V. Soong;1941;1964;1964;PA;The Cloak N Dagger Schemer;Medium;M52024;X
55028;Foreign Minister;Wang Jingwei;1939;1964;1964;FA;Biased Intellectual;Medium;M52041;X
55029;Foreign Minister;Chen Lu;1938;1964;1964;PA;Apologetic Clerk;Medium;M52013;X
55030;Foreign Minister;Yang Luchang;1944;1964;1964;FA;Great Compromiser;Medium;M52043;X
